review,sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I once lived in the u.p and let me tell you what. I didn't have the foggyest idea what the heck this ""bear walk "" is. I never heard of it the whole 10 years I was up there. It was really funny in the beginning but went down hill quickly.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hidden Frontier is notable for being the longest running internet-based Star Trek fan series. While the production quality is not on a par with fan productions like Starship Exeter, or New Voyages, Hidden Frontier concentrates largely on story, and in that regard it does very well indeed.<br /><br />Hidden Frontier has no physical sets; instead actors are filmed against a greenscreen, and the backgrounds inserted digitally. One of Hidden Frontier's greatest achievements is the sheer volume of work they have produced. One of the ways in which this is achieved is by inserting the virtual sets at the time of filming, instead of in post-production. While this does save a great deal of time, it's also worth noting that the quality of the resultant footage is not as high as if it had been produced in post-production, though it still serves its purpose. <br /><br />While it may not be everyone's cup of tea, Hidden Frontier is well worth a shot, though you might be best to start off watching the third season, since this is where the producers really start to hit their stride.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's a while ago, that I have seen Sleuth (1972) with two great actors Michael Caine and Laurence Olivier. Michael Caine is back, but he is now the husband and Jude Law the lover of his wife. The story is still the same and it's a fantastic play.<br /><br />During the movie I always had the feeling to watch a play. That's one of the reasons I dislike this remake of a classic. When I watch a movie adapted a play I still must feel to see a movie and not just a play. Director Kenneth Brannigan did some marvelous movies in the past, but this time he missed. Another reason was the look of the movie. The design was modern, stylish clean, uncomfortable and cold. I never got the feeling that somebody ever lived in that house. The photography wasn't bad, but the lightening was awful. Sometimes there was blue light, dark, green light, to round it up not friendly for eyes.<br /><br />The acting was really good. Michael Caine's and Jude Law's perform at their best. I really would like to see these 2 guys playing together on stage. But I have to confess I never was a fan of Jude Law. The weakest part was the mid part. I remember that in the original that this part was still very mysterious and just marvelous directed. I tried to watch it twice and always in the mid part I felt asleep. The end part is better and more interesting. Sleuth (2007) isn't awful, but it seems to be more a movie for critics than for the audience. Sleuth (1972) is still a masterpiece and much more entertaining than Sleuth (2007).",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is it about the French? First, they (apparently) like Jerry Lewis a lot more than the US does. Second, they (seem) to like Edgar Allan Poe's work more than just about anyone else does. It's got to be the ""Beaudelaire effect"".<br /><br />Don't get me wrong...I'm a Poe fan myself. But this trilogy manages to make three of Poe's below-average stories into...well, I'm not sure what they're made into.<br /><br />""Toby Dammit"" is a fine Fellini film, but it has nothing to do with Poe's story, at least in terms of theme. It's enjoyable on the first viewing. Terence Stamp does a good job with an interesting role. However, it has nothing whatsoever to do with Poe or spirits of the dead.<br /><br />""Metzergenstein"" is a big mess. How did Vadim's films get produced? It's just awful...not even up to amateur film school standards. Depending on the DVD menu you have, try to skip it and save your time.<br /><br />""William Wilson"" is actually the segment that is most faithful to Poe's work. It does not have much style, though, even if it includes the strangest snowball fight I think that I have ever seen on film. (It looks like the boys are throwing tissues, or maybe handkerchiefs, that have been rolled up into balls.) <br /><br />My advice is to skip ""Metzergenstein"", watch ""William Wilson"", and then, if you're a Fellini fan (I'm not) keep ""Toby Dammit"" on while you cook dinner or make a snack.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This very strange movie is unlike anything made in the west at the time. With its tumultuous emotions and net of visions, dreams, and startling images, its effect is both beautiful and unsettling. The actors are choreographed more like dance than acting. It contains the only dream sequence I know of that actually resembles a real nightmare (sorry, Dali fans).",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I saw this movie on the strength of the single positive review and I can only imagine that guy is a shill.<br /><br />The acting of the female lead is actually quite good, but the entire film is just so excruciatingly boring I could hardly bear to sit through it. This is the very definition of dullness.<br /><br />So far, this film is rated as 8 out of 10 on 7 votes. That must mean the director, director's girlfriend, producer, actress and drinking buddies have given their own film a 10.<br /><br />For the rest of you, who simply want to be entertained or enjoy a good story, avoid this.<br /><br />This man on the street shall give it a 2 out of 10.<br /><br />FDA note: while this movie can be used as an aide to obtaining a good nights sleep, no medicinal value is implied or offered.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are some great philosophical questions. What is the purpose of life? What happens when we die? And WHY DO THEY MAKE MOVIES THIS BAD??? The premise is absurd. Thre acting is one dimensional. The special effects are overdone. And the movie is one unending gun battle among some of the lousiest shots Hollywood ever produced. But then, if they had been good shots, everybody would have been dead in the first five minutes and there would be no movie. Too bad it didn't happen that way. Tempted to turn it off several times, I stuck with it to see just how bad it could get. Glad I did because (SPOILER?) the last line is the crowning stupidity of the whole dopey, dismal scenario.It is not even worthy of second feature status at a third rate drive-in in off season. Apart from the general awfulness of the film, I worry deeply about its impact on young audiences. The Americans crank out crap like this and then wonder why events like Columbine happen. This is truly banal cinema on a Brobdingnagian scale!",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I was cast as the Surfer Dude in the beach scenes. Almost got cast as the muscle guy, since the real muscle guy was really really late that day. Pauly had my brother and I (the skateboarder in front of the tattoo place) do some vj stuff in between takes live from Venice since he was still doing his MTV thing. This movie is really good as well. Would it have made my top 100 if I wasn't in it........?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Set in and near a poor working class town in the mountains of rural Italy, it's a story of madness. The landscape may be quite picturesque, but there's madness herein, concealed behind the mask of a person who seems outwardly normal. This person kills little children.<br /><br />In style and tone this film resembles Dario Argento's famous Italian giallos, those fascinating whodunit horror films, except that Argento's films are much better looking. Still, the visuals in Fulci's ""Don't Torture A Duckling"" are competent, with some interesting compositions and lighting. Lightning and thunder on a rainy night enhances suspense in one sequence wherein one of the ""ducklings"" is vulnerably alone.<br /><br />In one sequence the gore is a bit overdone. But this is no slasher film. A legitimate theme undergirds the story. And that theme is that madness can take many unexpected forms, not just the obvious delusions of people who practice voodoo or black magic.<br /><br />Plenty of red herrings render the puzzle solution difficult if the viewer doesn't assume an agenda on the part of the director. Don't dismiss someone who might not seem to be a suspect. The twist near the end provides good misdirection. However, in one scene midway through, a line of dialogue could have been added to clarify the relationship between two characters, one of whom is the murderer. The film's finale takes place on a beautiful mountaintop with the wind whistling in the background. We see flashbacks to clues and get insights into the killer's mindset.<br /><br />I don't care for the film's widescreen projection. But background music is effective, and ranges from jarringly creepy at the beginning to low-key jazz, to indigenous Italian songs. Acting is generally average, though in a couple of cases, it's a bit overdone.<br /><br />Though not as visually brilliant as Argento's giallos, ""Don't Torture A Duckling"" nevertheless is a fine film, one that contains a thematic storyline and enough of a whodunit puzzle to interest most viewers who like thrillers and murder mysteries.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Opulent sets and sumptuous costumes well photographed by Theodor Sparkuhl, and a good (not great) performance by Jannings as Henry cannot overcome poor writing and static camera-work. Henny Porten chews the scenery as Anne.<br /><br />It's all very beautiful; but it's all surface and no depth. The melodramatic tale of a woman wronged made it a hit in America where the expressionistic ""The Cabinet of Dr. Caligari"" flopped in the same year (1920), proving that what is popular is not what endures. Lubitsch would be remembered for his lively comedies, not sterile spectacles like this.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i saw the film and i got screwed, because the film was foolish and boring. i thought ram gopal varma will justify his work but unfortunately he failed and the whole film got spoiled and they spoiled ""sholay"". the cast and crew was bad. the whole theater slept while watching the movie some people ran away in the middle. amithab bachan's acting is poor, i thought this movie will be greatest hit of the year but this film will be the greatest flop of the year,sure. nobody did justice to their work, including Ajay devagan. this film don't deserve any audiences. i bet that this film will flop. <br /><br />""FINALLY THIS MOVIE SUCKS""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I'm getting a little tired of people misusing God's name to perpetuate their own bigoted view on the world. Well I don't dismiss the idea of Armageddon, or the coming of the anti-Christ, I do dismiss the idea that only certain people who live truly good lives(They seem to be mostly white Christian children) will go to Heaven, while the rest of us must suffer through a millenia of Hell on Earth, just because we weren't good enough. God may be a judge, but I don't think He is going to measure every level of goodness. Give the Creator some credit.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How offensive! Those who liked this movie have probably never opened a bible. I can imagine those at NBC saying, ""OK. Let's make a movie to appease those pesky Christians, but they'll never know the difference if we don't have anything factual or in the correct chronological order."" Well, they were wrong. Anybody associated with this atrocity needs to find a church and repent for their involvement in this blasphemous atrocity. I only gave this movie a 1 because I couldn't give it a 0.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What else can you say about this movie,except that it's plain awful.Tina Louise and Adam West are the reasons why to see this,but,that's it,but their talents are wasted in this junk.I think that they used a double in some of Adam's scenes,like when he's running because you can't see his face.If Adam was embarrassed in being in Zombie Nightmare,just think what he must've felt about appearing in this??? If it was before or after,I'm not sure,but,still,Zombie Nightmare is a classic(check out the Mystery Science Theater 3000 version first and last)compared to this.The gang is very annoying and over-acting by some of the actors.A rip-off of The Wild One starring Marlon Brando,of course.Tina looks stunning though.I hope her and Adam got a good paycheck!! Pass!",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Certain aspects of Punishment Park are less than perfect, specifically some of the acting. However I feel that this is probably the most important movie of the ""war on terror"" era. I grew up hating hippies and in some respects I still do. It wasn't until the United States was started down the path of an unnecessary and deceitful war in Iraq that I began to see the world through their eyes. I can feel what they must have felt. Although the film is somewhat dated, watching it brings those uncomfortable emotions about our present situation right to the surface. It's clear enough early in the film that Punishment Park is designed to be a concentration and death camp for all the ""unpatriotic"" elements of American society. This is certainly an exaggerated and extreme view of our polarized society, but it is CREDIBLE. At times I find myself believing that the USA could easily slip into fascism. As I watched this film I could only think about how I hear similar sentiments from people on both sides of the political spectrum almost daily. This movie is a raw, concentrated distillation of America's PRESENT political scene. I am both impressed and saddened that something this relevant (and yes, accurate) was filmed more than 30 years ago. If you take a more moderate view of the movie and choose to believe that this couldn't happen here, look more closely at Guantanamo Bay, some of our ""enemy combatants,"" the rumored CIA secret prisons and the many incidents similar to the one in Greensboro, NC in 1979 (8 full years AFTER the making of this movie).",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First of all, I'd like to tell you that I'm into comics, anime, animation and such stuff. It is true that everyone has his own preferences, but you can trust me on this movie. I'll be objective. To begin with the story - it's OK. Follows the story line of the comic books as far as I'm familiar with them. But the animation... Well, it's not actually terrible, but it's definitely cheap and mediocre. It would be a lot better if they didn't try to imitate the anime style and sticked to the original comic book style drawings. If we pretend not to see the rare sloppy effects like fire and lightnings you could tell that the movie is made about 10 years ago and even more. Looks a little bit like the original Vampire Hunter D from 1985. Take a look at Heavy Metal FAKK 2000 for instance - 4 years ago they made a movie that looks a hell lot better! In addition to this the voice talents do nothing remarkable, the music is nothing special. So all in all - it lacks atmosphere. I watched it, but I cannot tell I really enjoyed it. It just does not capture you. There's plenty of blood and violence, but that does not impress me at all. May be it will be shocking for someone who was never watched more mature oriented animations and sees animated blood for the first time (is there anyone around?), but I don't think this is the audience for this movie. So they could add a little nudity and spice to it. The chicks around Lucifer were quite tasty, and hell, we have Lady Death herself! There are few sexy looks, but that's not enough. Instead of Bill Brown's music I think it would look better on a hard rock / heavy metal soundtrack. All in all - the movie isn't that bad, but if you want something better take the original Heavy Metal, Heavy Metal FAKK 2000, Ralph Bakshi's Fire and Ice or Wizards maybe. And of course - Vampire Hunter D: Bloodlust",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You should not take what I am about to say lightly. I've seen many, many films and have reviewed a great deal of them, in print. So when I tell you that this film has the single funniest scene I have ever seen in a movie, you might want to listen to me. There's a lot of diversity of opinion as to what makes this INCREDIBLY stupid movie as funny as it is. And to those who just didn't get, well, I can't blame them, too much. The scene I speak of, comes at about the 30 minute mark and involves a dead convict shackled to John Candy. Up until that point, I had found the film dumb, confusing and it was beginning to lose me. When this scene came up, I laughed so hard, I peed my pants. No movie has ever done that to me before. When the project began, ""Going Berserk"" was supposed to be the SCTV movie. I remember it being announced. As time went on, the cast was whittled down To John Candy, Joe Flaherty & Eugene Levy. There also must have been a regime change at Universal, while it was being shot, because upon being released, it was shown in nearly ZERO theaters. When watching this a second time, I listened to the theme song (which actually flaunts how incomprehensible the plot is, in the lyrics), relaxed my logic nerve and figured out what was going on. Aside from the aforementioned routine, ""Going Berserk"" has many other hilarious scenes to recommend it. This is almost a 3 Stooges flick, except it's much funnier. Director David Steinberg has razor sharp timing, and he must have been laughing all through this. As for Candy, who's basically in charge here, he has NEVER been funnier. With all the plot devices and explanatory scenes thrown out the window, he absolutely runs wild. Flaherty and Levy follow him effortlessly. There is a plot, but it's a plot like ""Animal House"" had a plot, and yeah, the script is uneven, and a little slow to start. Once you know this, however, you can well appreciate the full SCTV style craziness that transpires. It IS stupid, but it's stupid on purpose, and you need to remember that when you see it. DO see it, and discover for yourself, if it has the funniest scene of all time in it.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I love the Jurassic Park movies, they are three of my all time favorite movies.<br /><br />And I hate this game, if there was one game I wish I never own for the Super Nintendo was this one.<br /><br />How can a game based on a classic movie be just too awful? And to make it worst, I was scare of this game when I was a kid.<br /><br />How dumb was that but then again I was a kid when this game was first out.<br /><br />The game play in this game is just odd. One minute it's a action game and then it's a shooter. What in the world is wrong with making up your mind when making a video game.<br /><br />The Sound in the game is just terrible to listen.<br /><br />The music is just too sick to listen to.<br /><br />The Controllers in the game don't work most of the time.<br /><br />Jurassic Park the game is just a waste of time and money and won't be a classic.<br /><br />Avoid at all cost",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The first series of Lost kicked off with a bang... literally and slowly decreased in pace. This may have put some viewers off and people who started to watch halfway through would either be bored or just plain confused. <br /><br />I would advise people new to the world of Lost to simply watch from the beginning and don't get pt off by the slower episodes. The acting throughout is excellent but why have 5 series' planned... WHY??? All this means is that there will be no answers for at least 4 years, oh well, i'll keep watching if it keeps the tension up and dialogue flowing.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I first saw this movie on a local station on the Sunday afternoon horror show back around 1969 or 1970. Uncut. I was just a little kid at the time, but I loved it and wasn't really that scared by it. I thought it had such a cool and highly original storyline. Thinking back, I'm still surprised that it was shown during the day on T.V. uncut in those years. I've sought out this film ever since, seen it over and over again, and always loved it. One would think John Waters would have idolized this film. It's got to be not only a scary film, but one of the sleaziest, trashiest films ever made at that time. And surprisingly, you don't hear about this one as having the cult following that a movie such as ""Blood Feast"" or ""The Hills Have Eyes"" have acquired over the years. It has a cult following, but it should have really become a cult classic, in my opinion. As far as I know, this came out a little before Blood Feast came out, making this probably one of the first true ""gore"" films. In fact, this movie has elements of Hershell Gordon Lewis AND a little Russ Meyer thrown in for good measure.<br /><br />Anyway, I recommend this for anyone who likes trashy, sleazy, black and white horror films from the early '60's (I think the date at the end of it read 1960).",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have read a lot of books in my short lifetime but this is by far the WORST!!! I just got done reading this worthless piece of trash and when I finished it I threw it across the room! I hated it and let me state the reasons! 1.The soldier dies. Why would the author make the soldier die?! Why couldn't she have kept him alive like a good love story author would do?! I deeply applaud Patty for trying to claw that FBI agent's eyes out.<br /><br />2.Ruth get's fired. Ruth (the black housekeeper) get's fired and for no apparent reason too! She tried to comfort Patty and then Patty's SOB dad fires her for no good reason! Ruth and Anton and Patty were the only bright spots in the book. Oh and the grandparents too! 3. The perm. Yes. The perm. Now you people might think why would the perm upset you? Well here's why. Patty's mom asks the girl if she wants her hair done. Patty says no but the mom calls Mrs. Reeves (the horrible hairdresser) and tells her to give Patty a perm. Why on God's green earth would she do that?! Why would a mother ask her daughter if she wants a perm only to have her get a perm anyway! The mom always pretends that Patty has a say when she dosen't have a say at all!!! She should be given the ""Worst Mother of the Year Award"" for the stuff she dose to Patty. Thank God Ruth cut her perm off! 4. Discrimination, Racisem, and Prejudious. I hate the discrimination in this book. They use the word *beep* too much. Yes.I know that in those days blacks were free but had basically no rights but come on! Why teach todays children that word! It just teaches them how to discriminate people. Not only were blacks discriminated but the Chinese too. In the book people refer to Mr.Lee (a Chinese man) as ""The *beep* That is really despicable and last but not least... Jews and Nazies. I hate the town for spitting on a little girl. What was so wrong for her liking Anton. SHE IS A 12 YEAR OLD GIRL!!! It was just a crush. Like a 12 year old can really love a 22 year old. Come on! This isn't ""Lolita"". And ""Lolita"" is a good book not a piece of filth! I'm surprised that this movie isn't considered ""dirty"" like ""Lolita"" is.<br /><br />5. Patty going to a reformatory. Patty should not have gone to that reformatory. Refirmitories are for thieves and murders, not innocent 12 year olds! The teacher or whatever she was called Patty an ungrateful, spoiled brat. Ungrateful spoiled brat my butt! Patty was not a spoiled brat because her father and mother never gave a rip about her! Patty should of got community service or something. She did nothing wrong. She just helped a friend.<br /><br />6. Favortisem. The parents played favoritism with their children. Patty, their firstborn daughter is clearly the least favored while Sharon, the five year old brat is their favorite daughter. The dad says that he wanted to take Sharon to Hollywood but clearly forgets his other daughter.<br /><br />7. The dad. I hated him! He was so mean Patty might as well had Hitler himself as her father. Her dad beats her for no apparent reason and the way he talks to her in the end will make you so mad you'll be caught thinking ""Patty would get better treatment in a concentration camp"".<br /><br />Well there you have it folks. 7 reasons I hate this book. Instead of reading this book read ""The Diaries of Anne Frank"" or anything else because I warn you, it is very depressing and it will leave you really mad! The only reason it gets 4 stars is because of Anton, Patty, Ruth, and the grandparents!",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
